Time,Accident Type,Latitude,Longitude,Temperature,Humidity,Weather Conditions
2024-09-25 17:43:59,Minor,25.11338,55.26332,98.5,60.21,Clear
2024-09-25 17:51:31,Minor,24.97675,55.12843999,98.5,60.21,Clear
2024-09-25 17:05:32,Minor,25.06393415,55.19822447,98.5,60.21,Clear
2024-09-25 17:26:54,Minor,25.18194999,55.39737,98.5,60.21,Clear
2024-09-25 17:35:08,Minor,25.15453921,55.26231935,98.5,60.21,Clear
2024-09-25 17:51:32,Minor,25.20835999,55.27169,98.5,60.21,Clear
2024-09-25 17:04:19,Violating Vehicles,25.06610996,55.20749997,98.5,60.21,Clear
2024-09-25 17:17:46,Minor,24.98719999,55.39849999,98.5,60.21,Clear
2024-09-25 17:21:53,Minor,25.21264763,55.38981715,98.5,60.21,Clear
2024-09-25 17:39:50,Minor,25.16638802,55.21250003,98.5,60.21,Clear
2024-09-25 17:53:26,Minor,25.196667,55.53972203,98.5,60.21,Clear
2024-09-25 17:57:21,Minor,25.01732,55.15507999,98.5,60.21,Clear
2024-09-25 17:05:04,Unknown Type,25.14065446,55.2605113,98.5,60.21,Clear
2024-09-25 17:13:38,Unknown Type,25.12222828,55.20138015,98.5,60.21,Clear
2024-09-25 17:31:32,Minor,25.11305999,55.24094,98.5,60.21,Clear
2024-09-25 17:04:30,Unknown Type,25.21611201,55.32166699,98.5,60.21,Clear
2024-09-25 17:04:57,Minor,25.25398214,55.40184871,98.5,60.21,Clear
2024-09-25 18:35:50,Unknown Type,25.28978794,55.34683055,94.9,71.13,Clear
2024-09-25 18:42:22,Unknown Type,25.19816999,55.54170999,94.9,71.13,Clear
2024-09-25 18:50:00,Minor,25.14338971,55.26133947,94.9,71.13,Clear
2024-09-25 18:51:39,Minor,25.20860249,55.26347633,94.9,71.13,Clear
2024-09-25 18:51:42,Unknown Type,25.20523126,55.27095101,94.9,71.13,Clear
2024-09-25 18:58:22,Minor,25.25438498,55.38715702,94.9,71.13,Clear
2024-09-25 18:20:03,Unknown Type,25.25520454,55.46978134,94.9,71.13,Clear
2024-09-25 18:22:20,Minor,24.97630636,55.14191074,94.9,71.13,Clear
2024-09-25 18:27:18,Minor,25.10494339,55.1765504,94.9,71.13,Clear
2024-09-25 18:32:34,Unknown Type,25.0942,55.16287,94.9,71.13,Clear
2024-09-25 18:49:33,Minor,25.20631,55.31528,94.9,71.13,Clear
2024-09-25 18:00:47,Minor,25.22678851,55.40435635,94.9,71.13,Clear
2024-09-25 18:04:24,Unknown Type,25.19870999,55.44250999,94.9,71.13,Clear
2024-09-25 18:15:25,Minor,25.25699709,55.33635991,94.9,71.13,Clear
2024-09-25 18:18:54,Minor,24.97203999,55.1659,94.9,71.13,Clear
2024-09-25 18:28:41,Minor,25.06455999,55.33453999,94.9,71.13,Clear
2024-09-25 18:32:40,Minor,24.97731,55.13038999,94.9,71.13,Clear
2024-09-25 19:02:52,Minor,25.23643,55.37827,93.2,75.44,Clear
2024-09-25 19:04:37,Minor,25.2684104,55.28854508,93.2,75.44,Clear
2024-09-25 19:14:22,Unknown Type,25.27095999,55.43759999,93.2,75.44,Clear
2024-09-25 19:15:09,Minor,24.97782638,55.13028531,93.2,75.44,Clear
2024-09-25 19:15:18,Unknown Type,25.14244,55.22338999,93.2,75.44,Clear
2024-09-25 19:15:25,Unknown Type,25.17757999,55.52988,93.2,75.44,Clear
2024-09-25 19:18:15,Minor,25.22609,55.48365,93.2,75.44,Clear
2024-09-25 19:18:53,Unknown Type,25.02576157,55.15799221,93.2,75.44,Clear
2024-09-25 19:26:45,Minor,25.17125351,55.24074124,93.2,75.44,Clear
2024-09-25 19:27:21,Minor,25.13040683,55.25710775,93.2,75.44,Clear
